Synergy!ID,HistoryID,性別,年代,居住市町村,業種,その他業種,観光は悪い影響を上回る良い影響があると思う,やんばるエリアは観光地であるべき（積極的に観光客を受け入れるべき）だと思う,やんばるエリアは今後も更なる観光振興を進めるべきと思う,やんばるエリアの観光振興を支援していきたいと思う,企業・事業者数等の増加により地域経済が活性化している,地域の景観が良くなっている,地域の文化の保全・継承につながっている,地域の生活環境の改善・向上につながっている,地域に活気が生まれ転出者が減っている（転入者が増えている）,地域の買い物環境やレクリエーション環境が改善している,地域の交通環境（道路・駐車場整備等）が改善している,地域の商店街が活性化している,地域に訪れる観光客を歓迎している,地域住民と観光客の間で交流が生まれている,観光・観光客のおかげで、企業等への就業機会の向上につながっていると感じる,観光振興により自然・景観環境を守っていきたいと思う,観光・観光客のおかげで自分たちは独特の文化をもっていると感じる,観光・観光客のおかげであなたの住む地域の特徴を継承していきたいと思う,観光・観光客のおかげであなたの住む地域に誇りを持てる,観光・観光客のおかげであなたの住む地域のおすすめの場所をほかの人に教えたいと思う,観光振興により同じ地域に住む住民同士の関係性が強化されると思う,観光・観光客のおかげで買い物する場やレジャー環境が充実していると思う,あなたの日常生活での移動（通勤・通学）環境が改善したと思う,観光振興により旅行者との良い出会いが生まれると思う,観光客のおかげで他者への偏見が減り、他者への理解が深まると思う,定期的に知りたい情報_ALL,定期的に知りたい情報_来訪者の消費額,定期的に知りたい情報_来訪者の消費単価,定期的に知りたい情報_延べ宿泊者数,定期的に知りたい情報_来訪者満足度,定期的に知りたい情報_リピーター率,定期的に知りたい情報_住民満足度,定期的に知りたい情報_地域への経済波及効果,定期的に知りたい情報_活動実績,定期的に知りたい情報_その他,定期的に知りたい情報_その他_text,定期的に知りたい情報_特になし,やんばるエリアが持つ魅力_ALL,やんばるエリアが持つ魅力_豊かな自然景観,やんばるエリアが持つ魅力_地元の食文化,やんばるエリアが持つ魅力_琉球の歴史・文化,やんばるエリアが持つ魅力_のんびりとした時間の流れ,やんばるエリアが持つ魅力_地域住民の人柄,やんばるエリアが持つ魅力_その他,やんばるエリアが持つ魅力_その他_text,やんばるエリアにおいておすすめしたい体験等_ALL,やんばるエリアにおいておすすめしたい体験等_自然の景観・体験,やんばるエリアにおいておすすめしたい体験等_地元の料理,やんばるエリアにおいておすすめしたい体験等_地域産品・お土産,やんばるエリアにおいておすすめしたい体験等_伝統・文化,やんばるエリアにおいておすすめしたい体験等_お祭り・イベント,やんばるエリアにおいておすすめしたい体験等_地域住民との交流,やんばるエリアにおいておすすめしたい体験等_その他,やんばるエリアにおいておすすめしたい体験等_その他_text,やんばるエリアでの暮らしの幸福度,5年後のやんばるエリアでの暮らしの幸福度,やんばるエリアの「持続可能な観光地」としての満足度,居住地域の誇りにしていること,観光客に伝えたい魅力,やんばるの観光について、ご意見,回答日時
1487,14,男性,30代,伊平屋村,公務,,とても思う,やや思う,やや思う,やや思う,やや思う,どちらでもない,どちらでもない,どちらでもない,やや思う,どちらでもない,あまり思わない,どちらでもない,どちらでもない,やや思う,やや思う,どちらでもない,あまり思わない,まったく思わない,やや思う,やや思う,やや思う,どちらでもない,あまり思わない,やや思う,どちらでもない,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,来訪者満足度,リピーター率,地域への経済波及効果",1,1,1,1,1,0,1,0,0,,0,"豊かな自然景観,琉球の歴史・文化,のんびりとした時間の流れ",1,0,1,1,0,0,,"自然の景観・体験,地域産品・お土産,お祭り・イベント",1,0,1,0,1,0,0,,6,6,どちらでもない,"・豊かな自然、景観
・コミュニティ","県内の他の地域に比べて「秘境」というワードがぴったりの地域だと思う。
観光振興にあたって、上記テーマで推進していって欲しい。",やんばる三村、北部離島への交通環境を改善して欲しい。特に公共交通（バス）,2025-11-20 9:28:52
1493,15,男性,60代,伊平屋村,建設業,,とても思う,やや思う,やや思う,どちらでもない,やや思う,やや思う,どちらでもない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,やや思う,やや思う,やや思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,"来訪者の消費単価,来訪者満足度,リピーター率,地域への経済波及効果",0,1,0,1,1,0,1,0,0,,0,"琉球の歴史・文化,のんびりとした時間の流れ",0,0,1,1,0,0,,"自然の景観・体験,お祭り・イベント",1,0,0,0,1,0,0,,3,3,不満,海,,物価が異常にに高すぎる,2025-11-20 10:38:30
1532,16,女性,30代,伊平屋村,公務,,とても思う,とても思う,とても思う,とても思う,どちらでもない,あまり思わない,どちらでもない,やや思う,あまり思わない,どちらでもない,どちらでもない,あまり思わない,やや思う,やや思う,やや思う,とても思う,あまり思わない,どちらでもない,とても思う,やや思う,どちらでもない,あまり思わない,あまり思わない,とても思う,まったく思わない,"来訪者満足度,リピーター率,地域への経済波及効果,活動実績",0,0,0,1,1,0,1,1,0,,0,豊かな自然景観,1,0,0,0,0,0,,"自然の景観・体験,地域産品・お土産,伝統・文化,お祭り・イベント",1,0,1,1,1,0,0,,7,5,どちらでもない,原風景の残る景色、透明度の高い海、田舎ならではの暮らし方,沖縄の中でも沖縄北部が海が1番綺麗ということを知ってほしい,運天港までのアクセスが悪い。アクセス面で観光客の離脱が多いので、バスの本数を増やしたり、直結バスなどが無いと観光客の大幅な増加にはつながらないと思う。,2025-11-21 9:02:52
1807,17,男性,50代,伊平屋村,公務,,やや思う,どちらでもない,どちらでもない,やや思う,やや思う,あまり思わない,どちらでもない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,あまり思わない,どちらでもない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,どちらでもない,リピーター率,0,0,0,0,1,0,0,0,0,,0,"豊かな自然景観,のんびりとした時間の流れ",1,0,0,1,0,0,,"自然の景観・体験,地域産品・お土産",1,0,1,0,0,0,0,,6,5,不満,,,,2025-11-25 8:00:27
1853,18,男性,50代,伊江村,生活関連サービス業,,やや思う,やや思う,やや思う,やや思う,やや思う,あまり思わない,あまり思わない,どちらでもない,あまり思わない,どちらでもない,あまり思わない,やや思う,やや思う,あまり思わない,あまり思わない,やや思う,どちらでもない,どちらでもない,やや思う,あまり思わない,あまり思わない,あまり思わない,まったく思わない,やや思う,どちらでもない,来訪者満足度,0,0,0,1,0,0,0,0,0,,0,豊かな自然景観,1,0,0,0,0,0,,自然の景観・体験,1,0,0,0,0,0,0,,7,7,どちらでもない,,,沖縄県全域でもあるが、道路案内標識の字が見えないのが多すぎるので、観光立県ならば、早目に対処してほしい。,2025-11-26 8:45:02
1903,19,女性,50代,伊江村,小売業,,とても思う,とても思う,とても思う,とても思う,とても思う,どちらでもない,どちらでもない,どちらでもない,あまり思わない,まったく思わない,まったく思わない,まったく思わない,とても思う,あまり思わない,まったく思わない,とても思う,やや思う,どちらでもない,どちらでもない,やや思う,どちらでもない,まったく思わない,まったく思わない,やや思う,あまり思わない,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,リピーター率,地域への経済波及効果,活動実績",1,1,1,0,1,0,1,1,0,,0,"豊かな自然景観,のんびりとした時間の流れ",1,0,0,1,0,0,,"自然の景観・体験,お祭り・イベント,地域住民との交流",1,0,0,0,1,1,0,,3,3,不満,,島に来て頂けたら非日常な生活を味わって欲しいです,フェリーを降りたら観光バス【マイクロバス等】があるともっと観光客の方が便利になるのではないか。,2025-11-26 15:24:09
1921,20,男性,60代,伊平屋村,建設業,,まったく思わない,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,やや思う,とても思う,とても思う,とても思う,どちらでもない,とても思う,とても思う,とても思う,とても思う,どちらでもない,あまり思わない,やや思う,とても思う,とても思う,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果,活動実績",1,1,1,1,1,1,1,1,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化,お祭り・イベント,地域住民との交流",1,1,1,1,1,1,0,,10,5,どちらでもない,,,伊平屋島への観光客誘客を検討してほしい。那霸空港→伊平屋島への交通ルート、もっと増やして欲しい、フェリの運行時間変更して欲しい。,2025-11-26 18:47:34
2030,21,男性,50代,伊江村,製造業,,やや思う,やや思う,やや思う,やや思う,とても思う,どちらでもない,どちらでもない,やや思う,あまり思わない,やや思う,やや思う,あまり思わない,やや思う,やや思う,どちらでもない,どちらでもない,あまり思わない,どちらでもない,やや思う,やや思う,どちらでもない,やや思う,どちらでもない,やや思う,あまり思わない,"リピーター率,住民満足度,地域への経済波及効果",0,0,0,0,1,1,1,0,0,,0,"豊かな自然景観,のんびりとした時間の流れ",1,0,0,1,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化",1,1,1,1,0,0,0,,7,5,満足,,,,2025-11-28 16:59:51
2182,22,女性,30代,名護市,公務,,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,どちらでもない,どちらでもない,どちらでもない,やや思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,とても思う,とても思う,とても思う,やや思う,やや思う,どちらでもない,やや思う,やや思う,どちらでもない,やや思う,地域への経済波及効果,0,0,0,0,0,0,1,0,0,,0,豊かな自然景観,1,0,0,0,0,0,,自然の景観・体験,1,0,0,0,0,0,0,,7,9,満足,,,,2025-12-01 9:27:00
2215,23,女性,40代,宜野座村,金融業、保険業,,やや思う,やや思う,あまり思わない,どちらでもない,どちらでもない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,あまり思わない,あまり思わない,やや思う,あまり思わない,どちらでもない,やや思う,あまり思わない,どちらでもない,やや思う,どちらでもない,どちらでもない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,"来訪者満足度,リピーター率,地域への経済波及効果,活動実績",0,0,0,1,1,0,1,1,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ,地域住民の人柄",1,1,0,1,1,0,,"自然の景観・体験,お祭り・イベント",1,0,0,0,1,0,0,,8,8,どちらでもない,,,,2025-12-01 18:36:38
